time_s,road_mm,baseline_mm,revised_mm
3.97400000,-5.00000000,-4.88112374,-4.87774461
3.97900000,-5.00000000,-4.92767052,-4.87734801
3.98400000,-5.00000000,-4.97752987,-4.88024294
3.98900000,-5.00000000,-5.02469573,-4.88599027
3.99400000,-5.00000000,-5.06409929,-4.89412371
3.99900000,-5.00000000,-5.09208560,-4.90416513
4.00400000,-5.00000000,-5.10667960,-4.91563854
4.00900000,-5.00000000,-5.10763362,-4.92808242
4.01400000,-5.00000000,-5.09627378,-4.94106040
4.01900000,-5.00000000,-5.07518405,-4.95416999
4.02400000,-5.00000000,-5.04778077,-4.96704957
4.02900000,-5.00000000,-5.01783740,-4.97938340
4.03400000,-5.00000000,-4.98901882,-4.99090498
4.03900000,-5.00000000,-4.96447690,-5.00139867
4.04400000,-5.00000000,-4.94654674,-5.01069977
4.04900000,-5.00000000,-4.93656764,-5.01869332
4.05400000,-5.00000000,-4.93483582,-5.02531164
4.05900000,-5.00000000,-4.94068051,-5.03053089
4.06400000,-5.00000000,-4.95264173,-5.03436695
4.06900000,-5.00000000,-4.96871900,-5.03687055
4.07400000,-5.00000000,-4.98665513,-5.03812211
4.07900000,-5.00000000,-5.00421936,-5.03822638
4.08400000,-5.00000000,-5.01945775,-5.03730692
4.08900000,-5.00000000,-5.03088572,-5.03550082
4.09400000,-5.00000000,-5.03760722,-5.03295353
4.09900000,-5.00000000,-5.03935447,-5.02981413
4.10400000,-5.00000000,-5.03645230,-5.02623095
4.10900000,-5.00000000,-5.02971897,-5.02234775
4.11400000,-5.00000000,-5.02032141,-5.01830038
4.11900000,-5.00000000,-5.00960617,-5.01421411
4.12400000,-5.00000000,-4.99892771,-5.01020141
4.12900000,-5.00000000,-4.98949388,-5.00636046
4.13400000,-5.00000000,-4.98224428,-5.00277403
4.13900000,-5.00000000,-4.97777185,-4.99950908
4.14400000,-5.00000000,-4.97629205,-4.99661666
4.14900000,-5.00000000,-4.97765807,-4.99413234
4.15400000,-5.00000000,-4.98141566,-4.99207696
4.15900000,-5.00000000,-4.98688692,-4.99045773
4.16400000,-5.00000000,-4.99327080,-4.98926948
4.16900000,-5.00000000,-4.99974693,-4.98849622
4.17400000,-5.00000000,-5.00557074,-4.98811274
4.17900000,-5.00000000,-5.01014999,-4.98808626
4.18400000,-5.00000000,-5.01309593,-4.98837818
4.18900000,-5.00000000,-5.01424603,-4.98894570
4.19400000,-5.00000000,-5.01365865,-4.98974344
4.19900000,-5.00000000,-5.01158315,-4.99072493
4.20400000,-5.00000000,-5.00841153,-4.99184395
4.20900000,-5.00000000,-5.00461896,-4.99305572
4.21400000,-5.00000000,-5.00070109,-4.99431794
4.21900000,-5.00000000,-4.99711567,-4.99559162
4.22400000,-5.00000000,-4.99423459,-4.99684179
4.22900000,-5.00000000,-4.99231070,-4.99803792
4.23400000,-5.00000000,-4.99146167,-4.99915428
4.23900000,-5.00000000,-4.99167079,-5.00017012
4.24400000,-5.00000000,-4.99280306,-5.00106958
4.24900000,-5.00000000,-4.99463292,-5.00184167
4.25400000,-5.00000000,-4.99687937,-5.00247998
4.25900000,-5.00000000,-4.99924369,-5.00298233
4.26400000,-5.00000000,-5.00144520,-5.00335038
4.26900000,-5.00000000,-5.00325120,-5.00358919
4.27400000,-5.00000000,-5.00449836,-5.00370666
4.27900000,-5.00000000,-5.00510393,-5.00371304
4.28400000,-5.00000000,-5.00506665,-5.00362039
4.28900000,-5.00000000,-5.00445837,-5.00344208
4.29400000,-5.00000000,-5.00340814,-5.00319226
4.29900000,-5.00000000,-5.00208163,-5.00288541
4.30400000,-5.00000000,-5.00065841,-5.00253595
4.30900000,-5.00000000,-4.99931014,-5.00215782
4.31400000,-5.00000000,-4.99818193,-5.00176419
4.31900000,-5.00000000,-4.99737867,-5.00136718
4.32400000,-5.00000000,-4.99695734,-5.00097770
4.32900000,-5.00000000,-4.99692557,-5.00060521
